Timestamp,Region,Risk_score,Risk_level
2020-03-25,Lynwood,-0.4527722021886728,0
2020-03-25,Manhattan Beach,-0.3383196837316693,0
2020-03-25,Mar Vista,-0.45602607301489306,0
2020-03-25,Melrose,0.4672612955350242,0
2020-03-25,Monterey Park,-0.49672859298461747,0
2020-03-25,North Hollywood,-0.3867202667501788,0
2020-03-25,Northridge,-0.5550743839154405,0
2020-03-25,Palms,-0.41210106434162846,0
2020-03-25,Park La Brea,-0.3308983515080289,0
2020-03-25,Pasadena,-0.2933929016375783,0
2020-03-25,Playa Vista,-8.161134126503173,0
2020-03-25,Reseda,-0.4453682355418295,0
2020-03-25,San Dimas,-0.9006498354161496,0
2020-03-25,San Pedro,-0.4483466074127402,0
2020-03-25,Santa Clarita,-0.26410266799544585,0
2020-03-25,Santa Monica,-0.14372582004836187,0
2020-03-25,Sherman Oaks,-0.3313713024528265,0
2020-03-25,South Pasadena,-0.8897355251081914,0
2020-03-25,Stevenson Ranch,-2.729123330918055,0
2020-03-25,Studio City,-0.5532861914566315,0
2020-03-25,Sylmar,-0.5185972212590227,0
2020-03-25,Tarzana,-0.5026642522387471,0
2020-03-25,Torrance,-0.30652798952615135,0
2020-03-25,Tujunga,-1.1094080033509803,0
2020-03-25,University Park,-1.1043404372648524,0
2020-03-25,Valley Glen,-0.2960974317164374,0
2020-03-25,Van Nuys,-0.4369562030385006,0
2020-03-25,Venice,-0.39616879034492003,0
2020-03-25,Vermont Knolls,-1.285798949342107,0
2020-03-25,Walnut,-0.9901532789784834,0
2020-03-25,West Adams,-1.2236852347698897,0
2020-03-25,West Hills,-0.6676183503273251,0
2020-03-25,West Hollywood,0.6059868425830568,0
2020-03-25,West Vernon,-230.06434414514186,0
2020-03-25,Westchester,-0.6963707242808735,0
2020-03-25,Westwood,-0.4149285049068378,0
2020-03-25,Whittier,-0.43073798460771817,0
2020-03-25,Woodland Hills,-0.3969131140644188,0
2020-03-26,Alhambra,-0.39666385430134987,0
2020-03-26,Altadena,-0.6394130640717012,0
2020-03-26,Arcadia,-0.5863294062978116,0
2020-03-26,Baldwin Hills,-1.054939800233598,0
2020-03-26,Beverly Hills,-0.34988750487521186,0
2020-03-26,Beverlywood,-2.4227572063599925,0
2020-03-26,Boyle Heights,-0.4156860491811447,0
2020-03-26,Brentwood,0.7013941146271153,0
2020-03-26,Burbank,-0.3960921791571593,0
2020-03-26,Calabasas,-1.1237932193895914,0
2020-03-26,Carson,-0.30381644919337225,0
2020-03-26,Castaic,-1.6716732591372152,0
2020-03-26,Century City,-3.139016498776605,0
2020-03-26,Covina,-0.6328956398004532,0
2020-03-26,Crestview,-3.0252199215169218,0
2020-03-26,Culver City,-0.6454274685765428,0
2020-03-26,Diamond Bar,-0.6313502063151518,0
2020-03-26,Downtown,-0.951516504175217,0
2020-03-26,Eagle Rock,-0.9395306577654611,0
2020-03-26,East Los Angeles,-0.37733454812055195,0
2020-03-26,Echo Park,-0.8397261242290043,0
2020-03-26,El Segundo,-1.7640221855261167,0
2020-03-26,Encino,-0.3799878207723571,0
2020-03-26,Gardena,-0.6463901591076956,0
2020-03-26,Glendale,-0.18823304820082254,0
2020-03-26,Granada Hills,-0.5366021323817239,0
2020-03-26,Hancock Park,-1.5872501803942265,0
2020-03-26,Hawthorne,-0.37104275777166773,0
2020-03-26,Hollywood,-0.14930365117455155,0
2020-03-26,Hollywood Hills,-0.8178012988444197,0
2020-03-26,Inglewood,-0.3574066464440125,0
2020-03-26,Koreatown,-0.5090382360465641,0
2020-03-26,La Mirada,-0.6653716054167645,0
2020-03-26,Lake Balboa,-1.1904867557393177,0
2020-03-26,Lakewood,-0.44600735673836556,0
