,ZIP,date_start - date_end,Predicted new cases,cases/population
203,90033,2020/5/11 - 2020/5/14,10.8820305,2.2869576292080254
204,90039,2020/3/22 - 2020/3/25,1.661317,0.561464392460832
205,90039,2020/3/23 - 2020/3/26,2.141212,0.7236513523747838
206,90039,2020/3/24 - 2020/3/27,3.4446938,1.1641805413455106
207,90039,2020/3/27 - 2020/3/30,2.43855,0.8241407264261594
208,90039,2020/3/28 - 2020/3/31,2.4907694,0.8417889709998662
209,90039,2020/3/29 - 2020/4/1,2.9384122,0.9930758692364198
210,90039,2020/3/30 - 2020/4/2,2.0246904,0.6842713135398893
211,90039,2020/3/31 - 2020/4/3,2.1641214,0.7313938927942946
212,90039,2020/4/1 - 2020/4/4,1.7330992,0.5857241617436303
213,90039,2020/4/2 - 2020/4/5,3.3613367,1.1360088911652464
214,90039,2020/4/3 - 2020/4/6,1.8947253,0.6403478734405991
215,90039,2020/4/4 - 2020/4/7,4.3201885,1.4600657414373135
216,90039,2020/4/5 - 2020/4/8,6.0494485,2.0444923755932347
217,90039,2020/4/6 - 2020/4/9,7.446899,2.516779525237535
218,90039,2020/4/7 - 2020/4/10,7.6157904,2.5738586525825355
219,90039,2020/4/8 - 2020/4/11,6.4046288,2.1645303165575416
220,90039,2020/4/9 - 2020/4/12,8.162248,2.75854123416671
221,90039,2020/4/10 - 2020/4/13,3.7070167,1.2528360899208066
222,90039,2020/4/11 - 2020/4/14,2.8959994,0.9787419080097697
223,90039,2020/4/12 - 2020/4/15,2.449139,0.8277194627039035
224,90039,2020/4/13 - 2020/4/16,2.98323,1.0082226888313746
225,90039,2020/4/14 - 2020/4/17,2.8195603,0.9529082731362786
226,90039,2020/4/15 - 2020/4/18,2.6175964,0.884651859766521
227,90039,2020/4/16 - 2020/4/19,3.0877037,1.0435309421859422
228,90039,2020/4/17 - 2020/4/20,3.2592206,1.1014973808267172
229,90039,2020/4/18 - 2020/4/21,5.267616,1.7802615144599339
230,90039,2020/4/19 - 2020/4/22,5.023097,1.697623116113773
231,90039,2020/4/20 - 2020/4/23,3.9900727,1.3484986742381861
232,90039,2020/4/21 - 2020/4/24,3.9241824,1.3262301581697742
233,90039,2020/4/22 - 2020/4/25,2.0136564,0.6805422210255022
234,90039,2020/4/23 - 2020/4/26,2.394687,0.8093166167603344
235,90039,2020/4/24 - 2020/4/27,0.13459602,0.04548853289509332
236,90039,2020/4/25 - 2020/4/28,2.555638,0.8637122156459759
237,90039,2020/4/26 - 2020/4/29,1.3739625,0.46434908971342037
238,90039,2020/4/27 - 2020/4/30,1.9504077,0.659166495472635
239,90039,2020/4/28 - 2020/5/1,2.207693,0.7461195376577735
240,90039,2020/4/29 - 2020/5/2,0.9368355,0.3166161504005015
241,90039,2020/4/30 - 2020/5/3,1.3559957,0.4582769458446769
242,90039,2020/5/1 - 2020/5/4,1.8583266,0.6280464207301365
243,90039,2020/5/2 - 2020/5/5,2.5506284,0.8620191367368941
244,90039,2020/5/3 - 2020/5/6,4.0978713,1.3849306511062724
245,90039,2020/5/4 - 2020/5/7,5.9704785,2.0178034183982176
246,90039,2020/5/5 - 2020/5/8,3.2448955,1.0966560066989204
247,90039,2020/5/6 - 2020/5/9,2.2164896,0.7490924172670715
248,90039,2020/5/7 - 2020/5/10,1.5902636,0.537450946337422
249,90039,2020/5/8 - 2020/5/11,0.96599543,0.3264711314834398
250,90039,2020/5/9 - 2020/5/12,-0.32824504,-0.11093482164134565
251,90039,2020/5/10 - 2020/5/13,0.667795,0.22569029114214056
252,90039,2020/5/11 - 2020/5/14,1.2327604,0.4166279459874697
253,90043,2020/3/22 - 2020/3/25,-0.82682157,-0.18527383996864044
254,90043,2020/3/23 - 2020/3/26,-1.119215,-0.2507932443580522
255,90043,2020/3/24 - 2020/3/27,-0.143662,-0.03219172376877632
256,90043,2020/3/25 - 2020/3/28,0.84447646,0.18922994183129552
257,90043,2020/3/26 - 2020/3/29,1.4863397,0.33305839252046665
258,90043,2020/3/27 - 2020/3/30,0.051016882,0.011431842172218234
259,90043,2020/3/28 - 2020/3/31,-0.7539282,-0.16893992078994272
260,90043,2020/3/29 - 2020/4/1,1.6462982,0.3689018240279924
261,90043,2020/3/30 - 2020/4/2,1.2859277,0.2881501452736422
262,90043,2020/3/31 - 2020/4/3,2.1842122,0.489437382704235
263,90043,2020/4/1 - 2020/4/4,2.8825655,0.6459241038725549
264,90043,2020/4/2 - 2020/4/5,3.6778958,0.8241413907226682
265,90043,2020/4/3 - 2020/4/6,2.9609985,0.6634993468429986
266,90043,2020/4/4 - 2020/4/7,2.8405967,0.6365197472097167
267,90043,2020/4/5 - 2020/4/8,5.4644413,1.2244697827410485
268,90043,2020/4/6 - 2020/4/9,5.4330716,1.217440476238996
269,90043,2020/4/7 - 2020/4/10,5.3367147,1.1958488683012236
270,90043,2020/4/8 - 2020/4/11,5.6683555,1.2701627859670834
271,90043,2020/4/9 - 2020/4/12,4.9304934,1.104822944584526
272,90043,2020/4/10 - 2020/4/13,2.1567316,0.48327954053146865
273,90043,2020/4/12 - 2020/4/15,3.4684353,0.7772055678122182
274,90043,2020/4/13 - 2020/4/16,5.904269,1.3230262438534575
275,90043,2020/4/14 - 2020/4/17,8.615105,1.9304691499076723
276,90043,2020/4/15 - 2020/4/18,7.977083,1.7875015587372571
277,90043,2020/4/16 - 2020/4/19,7.741847,1.7347899339568071
278,90043,2020/4/17 - 2020/4/20,11.302017,2.5325514177323285
279,90043,2020/4/18 - 2020/4/21,19.441284,4.3563950477709685
280,90043,2020/4/19 - 2020/4/22,20.294613,4.547608596706363
281,90043,2020/4/20 - 2020/4/23,18.5996,4.167790763048566
282,90043,2020/4/21 - 2020/4/24,20.31233,4.551578695850423
283,90043,2020/4/22 - 2020/4/25,15.478827,3.4684893621577664
284,90043,2020/4/23 - 2020/4/26,14.659603,3.284917901471415
285,90043,2020/4/24 - 2020/4/27,6.683258,1.497581745723581
286,90043,2020/4/25 - 2020/4/28,10.092602,2.2615460990259364
287,90043,2020/4/26 - 2020/4/29,9.955886,2.2309108582575563
288,90043,2020/4/27 - 2020/4/30,10.72159,2.4024895337159697
289,90043,2020/4/28 - 2020/5/1,14.884808,3.3353816269679615
290,90043,2020/4/29 - 2020/5/2,12.040434,2.698015525055906
291,90043,2020/4/30 - 2020/5/3,12.645685,2.8336399928121656
292,90043,2020/5/1 - 2020/5/4,12.591984,2.8216066047832067
293,90043,2020/5/2 - 2020/5/5,13.321298,2.985030955602852
294,90043,2020/5/3 - 2020/5/6,14.003817,3.1379695262093033
295,90043,2020/5/4 - 2020/5/7,13.328958,2.986747385591284
296,90043,2020/5/5 - 2020/5/8,9.765741,2.1883033473607014
297,90043,2020/5/6 - 2020/5/9,11.4233675,2.559743540974113
298,90043,2020/5/7 - 2020/5/10,6.2131615,1.3922426935500616
299,90043,2020/5/8 - 2020/5/11,7.5133142,1.6835803991151876
300,90043,2020/5/9 - 2020/5/12,13.518428,3.0292038113285495
301,90043,2020/5/10 - 2020/5/13,9.001641,2.0170841135408017
302,90043,2020/5/11 - 2020/5/14,8.0065365,1.7941014371937725
303,90045,2020/3/22 - 2020/3/25,-1.2235627,-0.29734932013845883
304,90045,2020/3/23 - 2020/3/26,-1.4699901,-0.3572359314294872
305,90045,2020/3/24 - 2020/3/27,-0.5657093,-0.13747826019797355
306,90045,2020/3/25 - 2020/3/28,-1.6605828,-0.40355361754550845
307,90045,2020/3/26 - 2020/3/29,-0.03226137,-0.007840135024556813
308,90045,2020/3/27 - 2020/3/30,0.18346219,0.044584847176801265
309,90045,2020/3/28 - 2020/3/31,-0.4410696,-0.10718841356200845
310,90045,2020/3/29 - 2020/4/1,1.4654603,0.3561350945212658
311,90045,2020/3/30 - 2020/4/2,1.9882218,0.4831762046622067
312,90045,2020/3/31 - 2020/4/3,1.5229645,0.3701097177426092
313,90045,2020/4/1 - 2020/4/4,4.6615467,1.1328456845010377
314,90045,2020/4/2 - 2020/4/5,5.9652004,1.4496586610110418
315,90045,2020/4/3 - 2020/4/6,-0.1285835,-0.031248269884979574
316,90045,2020/4/4 - 2020/4/7,0.07200553,0.017498732091166733
317,90045,2020/4/5 - 2020/4/8,0.18736964,0.045534434528634045
318,90045,2020/4/6 - 2020/4/9,0.64790934,0.15745445654636692
319,90045,2020/4/7 - 2020/4/10,-0.7938887,-0.19293025057412413
320,90045,2020/4/8 - 2020/4/11,-0.1607395,-0.0390627952927868
321,90045,2020/4/9 - 2020/4/12,-0.22840278,-0.055506276824778
322,90045,2020/4/10 - 2020/4/13,0.38559648,0.0937073765938046
323,90045,2020/4/11 - 2020/4/14,0.16087562,0.03909587558817813
324,90045,2020/4/12 - 2020/4/15,-0.7431868,-0.18060870783485855
325,90045,2020/4/13 - 2020/4/16,0.087144874,0.021177883797008943
326,90045,2020/4/14 - 2020/4/17,0.37097952,0.09015517210583197
327,90045,2020/4/15 - 2020/4/18,0.38388872,0.0932923574001955
328,90045,2020/4/16 - 2020/4/19,0.4487802,0.10906223938031667
329,90045,2020/4/17 - 2020/4/20,1.6905977,0.4108478100048548
330,90045,2020/4/18 - 2020/4/21,1.8336585,0.44561434222031354
331,90045,2020/4/19 - 2020/4/22,3.0328655,0.7370447700532193
332,90045,2020/4/20 - 2020/4/23,2.6680515,0.6483879271056279
333,90045,2020/4/21 - 2020/4/24,0.85517246,0.20782338703512152
334,90045,2020/4/22 - 2020/4/25,0.62865514,0.15277531304079353
335,90045,2020/4/23 - 2020/4/26,0.41090885,0.09985876887585518
336,90045,2020/4/24 - 2020/4/27,-0.20977966,-0.0509805013181552
337,90045,2020/4/25 - 2020/4/28,0.46691138,0.11346846230105556
